名字,上映年份,top值,导演,类型,制片国家,语言,上映日期,片长,豆瓣评分
肖申克的救赎 The Shawshank Redemption,(1994),No.1,弗兰克·德拉邦特,,,,,,9.7
霸王别姬,(1993),No.2,陈凯歌,,,,,,9.6
泰坦尼克号 Titanic,(1997),No.3,詹姆斯·卡梅隆,,,,,,9.5
阿甘正传 Forrest Gump,(1994),No.4,罗伯特·泽米吉斯,,,,,,9.5
千与千寻 千と千尋の神隠し,(2001),No.5,宫崎骏,,,,,,9.4
美丽人生 La vita è bella,(1997),No.6,罗伯托·贝尼尼,,,,,,9.5
星际穿越 Interstellar,(2014),No.7,克里斯托弗·诺兰,,,,,,9.4
这个杀手不太冷 Léon,(1994),No.8,吕克·贝松,,,,,,9.4
盗梦空间 Inception,(2010),No.9,克里斯托弗·诺兰,,,,,,9.4
楚门的世界 The Truman Show,(1998),No.10,彼得·威尔,,,,,,9.4
辛德勒的名单 Schindler's List,(1993),No.11,史蒂文·斯皮尔伯格,,,,,,9.5
忠犬八公的故事 Hachi: A Dog's Tale,(2009),No.12,拉斯·霍尔斯道姆,,,,,,9.4
海上钢琴师 La leggenda del pianista sull'oceano,(1998),No.13,朱塞佩·托纳多雷,,,,,,9.3
疯狂动物城 Zootopia,(2016),No.14,拜伦·霍华德,,,,,,9.3
三傻大闹宝莱坞 3 Idiots,(2009),No.15,拉吉库马尔·希拉尼,,,,,,9.2
机器人总动员 WALL·E,(2008),No.16,安德鲁·斯坦顿,,,,,,9.3
放牛班的春天 Les choristes,(2004),No.17,克里斯托夫·巴哈蒂,,,,,,9.3
无间道 無間道,(2002),No.18,刘伟强,,,,,,9.3
控方证人 Witness for the Prosecution,(1957),No.19,比利·怀尔德,,,,,,9.6
寻梦环游记 Coco,(2017),No.20,李·昂克里奇,,,,,,9.1
大话西游之大圣娶亲 西遊記大結局之仙履奇緣,(1995),No.21,刘镇伟,,,,,,9.2
熔炉 도가니,(2011),No.22,黄东赫,,,,,,9.3
触不可及 Intouchables,(2011),No.23,奥利维埃·纳卡什,,,,,,9.3
教父 The Godfather,(1972),No.24,弗朗西斯·福特·科波拉,,,,,,9.3
末代皇帝 The Last Emperor,(1987),No.25,贝纳尔多·贝托鲁奇,,,,,,9.3
